DATASET_COLORSTRIP
#=================================================================
# Color strip for All family genes
#=================================================================

SEPARATOR SPACE

# Display options
DATASET_LABEL Family
COLOR #FF0000

# Data
DATA
AmTrH1.03G021200.1.p #6B9CD1
VIT_206s0004g01380.1 #6B9CD1
VIT_206s0004g01410.1 #6B9CD1
VIT_219s0014g04260.1 #6B9CD1
VIT_219s0014g04500.1 #6B9CD1
VIT_219s0014g04140.1 #6B9CD1
VIT_219s0014g04600.1 #6B9CD1
VIT_219s0014g04620.1 #6B9CD1
VIT_219s0014g04170.1 #6B9CD1
VIT_219s0014g04400.6 #6B9CD1
VIT_219s0014g04400.7 #6B9CD1
VIT_219s0014g04530.1 #6B9CD1
VIT_219s0014g04400.5 #6B9CD1
VIT_219s0014g04640.1 #6B9CD1
VIT_219s0014g04400.3 #6B9CD1
VIT_219s0014g04400.4 #6B9CD1
VIT_219s0014g04400.2 #6B9CD1
VIT_219s0014g04400.1 #6B9CD1
VIT_219s0014g04470.5 #6B9CD1
VIT_219s0014g04470.3 #6B9CD1
VIT_219s0014g04470.4 #6B9CD1
VIT_219s0014g04310.1 #6B9CD1
VIT_219s0014g04470.1 #6B9CD1
VIT_219s0014g04470.2 #6B9CD1
VIT_219s0014g04290.1 #6B9CD1
VIT_219s0014g04176.1 #6B9CD1
VIT_219s0014g04173.1 #6B9CD1
VIT_210s0003g03330.1 #6B9CD1
VIT_200s0353g00060.5 #6B9CD1
VIT_200s0456g00040.3 #6B9CD1
VIT_200s0353g00060.2 #6B9CD1
VIT_200s0353g00060.3 #6B9CD1
VIT_200s0353g00060.4 #6B9CD1
VIT_200s0456g00040.2 #6B9CD1
VIT_200s0353g00060.1 #6B9CD1
VIT_200s0456g00040.1 #6B9CD1
VIT_200s0203g00220.1 #6B9CD1
VIT_219s0014g04270.1 #6B9CD1
VIT_200s0374g00030.1 #6B9CD1
VIT_207s0095g00640.1 #6B9CD1
VIT_207s0095g00660.2 #6B9CD1
VIT_207s0095g00660.4 #6B9CD1
VIT_200s0420g00005.1 #6B9CD1
VIT_200s0353g00050.2 #6B9CD1
VIT_200s0347g00110.1 #6B9CD1
VIT_200s0353g00050.1 #6B9CD1
VIT_207s0095g00660.1 #6B9CD1
VIT_200s0286g00130.5 #6B9CD1
VIT_200s0286g00130.7 #6B9CD1
VIT_213s0156g00630.1 #6B9CD1
VIT_200s0286g00130.6 #6B9CD1
VIT_200s0286g00130.1 #6B9CD1
VIT_200s0286g00130.2 #6B9CD1
VIT_219s0014g04190.2 #6B9CD1
VIT_219s0014g04190.4 #6B9CD1
VIT_219s0014g04190.5 #6B9CD1
VIT_208s0007g01180.1 #6B9CD1
VIT_219s0014g04190.3 #6B9CD1
VIT_208s0007g01200.1 #6B9CD1
VIT_219s0014g04190.1 #6B9CD1
VIT_219s0014g04080.1 #6B9CD1
VIT_219s0014g04080.2 #6B9CD1
VIT_200s0347g00096.1 #6B9CD1
VIT_219s0014g04150.2 #6B9CD1
VIT_219s0014g04150.3 #6B9CD1
VIT_200s0286g00085.1 #6B9CD1
VIT_219s0014g04540.1 #6B9CD1
VIT_218s0166g00230.1 #6B9CD1
VIT_208s0007g01160.1 #6B9CD1
VIT_207s0095g00660.3 #6B9CD1
VIT_207s0095g00670.5 #6B9CD1
VIT_213s0156g00580.1 #6B9CD1
VIT_218s0001g09800.1 #6B9CD1
VIT_219s0014g04130.2 #6B9CD1
VIT_213s0156g00570.1 #6B9CD1
VIT_218s0001g09840.1 #6B9CD1
VIT_219s0014g04130.1 #6B9CD1
VIT_207s0095g00670.3 #6B9CD1
VIT_207s0095g00670.2 #6B9CD1
VIT_207s0095g00670.4 #6B9CD1
VIT_213s0156g00610.1 #6B9CD1
VIT_213s0156g00590.1 #6B9CD1
VIT_208s0007g01230.1 #6B9CD1
VIT_207s0095g00670.1 #6B9CD1
VIT_218s0001g09740.1 #6B9CD1
VIT_219s0014g04090.1 #6B9CD1
VIT_219s0014g04040.1 #6B9CD1
VIT_200s0286g00040.1 #6B9CD1
VIT_204s0044g00820.1 #6B9CD1
VIT_207s0095g00185.1 #6B9CD1
VIT_207s0095g00550.2 #6B9CD1
VIT_208s0007g01190.1 #6B9CD1
VIT_212s0028g03520.1 #6B9CD1
VIT_207s0095g00340.1 #6B9CD1
VIT_206s0004g01390.1 #6B9CD1
VIT_217s0053g00405.1 #6B9CD1
VIT_219s0014g04096.1 #6B9CD1
VIT_208s0007g01170.1 #6B9CD1
VIT_206s0080g00070.1 #6B9CD1
VIT_212s0028g03510.1 #6B9CD1
VIT_200s0353g00020.1 #6B9CD1
VIT_204s0044g00720.1 #6B9CD1
VIT_218s0001g09820.1 #6B9CD1
VIT_212s0134g00270.4 #6B9CD1
VIT_200s0347g00060.1 #6B9CD1
VIT_218s0001g09730.1 #6B9CD1
VIT_212s0134g00270.3 #6B9CD1
VIT_212s0134g00450.1 #6B9CD1
VIT_212s0134g00270.2 #6B9CD1
VIT_212s0134g00270.1 #6B9CD1
VIT_218s0001g09750.1 #6B9CD1
VIT_218s0001g09790.1 #6B9CD1
VIT_218s0001g09720.1 #6B9CD1
VIT_212s0134g00390.5 #6B9CD1
VIT_212s0134g00390.4 #6B9CD1
VIT_212s0134g00390.2 #6B9CD1
VIT_212s0134g00390.3 #6B9CD1
VIT_212s0134g00300.1 #6B9CD1
VIT_207s0095g00195.1 #6B9CD1
VIT_212s0134g00390.1 #6B9CD1
VIT_200s0286g00140.1 #6B9CD1
VIT_204s0044g00660.1 #6B9CD1
VIT_212s0134g00396.1 #6B9CD1
VIT_204s0044g00640.1 #6B9CD1
VIT_212s0134g00380.1 #6B9CD1
VIT_219s0014g04240.1 #6B9CD1
VIT_219s0014g04240.2 #6B9CD1
VIT_219s0014g04240.3 #6B9CD1
VIT_200s0347g00045.1 #6B9CD1
VIT_205s0020g03210.1 #6B9CD1
VIT_219s0014g04250.1 #6B9CD1
VIT_205s0020g03270.1 #6B9CD1
VIT_216s0050g01880.1 #6B9CD1
VIT_206s0004g01400.1 #6B9CD1
VIT_200s0353g00055.1 #6B9CD1
VIT_205s0020g03240.1 #6B9CD1
VIT_207s0095g00550.1 #6B9CD1
VIT_215s0046g01810.1 #6B9CD1
VIT_204s0044g00680.1 #6B9CD1
VIT_212s0028g01650.1 #6B9CD1
VIT_212s0028g01430.1 #6B9CD1
VIT_219s0014g01360.1 #6B9CD1
VIT_212s0028g01460.1 #6B9CD1
VIT_218s0086g00210.1 #6B9CD1
VIT_219s0014g01370.1 #6B9CD1
VIT_212s0028g01270.1 #6B9CD1
VIT_219s0014g04220.1 #6B9CD1
VIT_219s0014g01150.1 #6B9CD1
VIT_209s0002g06830.1 #6B9CD1
VIT_200s0347g00080.1 #6B9CD1
VIT_219s0014g02620.1 #6B9CD1
VIT_212s0028g01520.1 #6B9CD1
VIT_200s0762g00020.1 #6B9CD1
VIT_212s0028g01630.1 #6B9CD1
VIT_212s0028g01280.1 #6B9CD1
VIT_212s0028g01535.1 #6B9CD1
