DATASET_SIMPLEBAR
SEPARATOR SPACE
DATASET_LABEL KaKsValue
COLOR #FFCC33

DATA
Solyc02g031740.3.1 0.824549
Solyc02g069053.1.1 0.544408
Solyc02g069057.1.1 0.592364
Solyc02g069055.1.1 0.561723
Solyc02g069065.1.1 0.597059
Solyc02g069060.4.1 0.361075
Solyc07g063700.2.1 1.204734
Solyc07g063710.2.1 0.895632
Solyc07g063730.3.1 0.572232
Solyc07g063720.1.1 0.49856
Solyc10g006720.4.1 0.671923
Solyc07g063750.3.1 0.754274
Solyc04g077270.4.1 0.613186
Solyc04g077330.4.1 0.523303
Solyc04g077340.3.1 0.65648
Solyc04g077360.3.1 0.71424
Solyc04g077280.3.1 0.624462
Solyc04g077300.3.1 0.557097
Solyc04g077310.3.1 1
Solyc04g077320.2.1 1
Solyc07g063770.3.1 1.81824
Solyc07g063820.3.1 1.49791
Solyc10g006710.4.1 1.16437
Solyc02g030360.3.1 1.84414
Solyc09g011060.2.1 1.42334
Solyc09g011990.1.1 2.27699
Solyc09g012000.1.1 2.30587
Solyc07g055400.2.1 1.41217
Solyc07g055580.3.1 0.581204
Solyc07g055640.1.1 0.70451
Solyc07g055650.2.1 0.722369
Solyc07g055630.4.1 0.764639
Solyc10g074440.2.1 0.655209
Solyc10g055780.1.1 0.584842
Solyc10g055800.2.1 0.588785
Solyc10g055810.2.1 0.626874
Solyc10g055820.3.1 0.65259
Solyc00g500258.1.1 0.666712
Solyc00g500347.1.1 0.544269
Solyc10g068350.1.1 0.788676
Solyc10g074360.1.1 0.615727
Solyc10g068355.1.1 0.952907
Solyc10g073353.1.1 0.731536
Solyc07g026990.1.1 0.506696
Solyc09g008820.3.1 0.584039
Solyc10g085490.3.1 0.63116
Solyc10g083730.2.1 0.617521
Solyc01g014660.1.1 1.61978
Solyc01g014560.4.1 0.669506
Solyc12g096900.2.1 0.895949
Solyc01g006520.3.1 0.737712
Solyc01g014700.2.1 0.767163
Solyc01g006530.1.1 1.04744
Solyc10g017980.1.1 0.634348
Solyc03g116240.3.1 1.33975
Solyc12g005290.2.1 1.06638
Solyc12g096890.1.1 1.03044
Solyc12g098200.2.1 1.29033
Solyc12g044930.3.1 1.43195
Solyc07g055410.2.1 1.32557
Solyc07g009530.1.1 0.633937
Solyc07g009420.1.1 0.814
Solyc07g009440.2.1 0.65
Solyc07g009443.1.1 0.77
Solyc12g098190.2.1 0.82
Solyc10g017970.1.1 0.644
Solyc10g055790.1.1 0.97
Solyc01g014530.2.1 1.1
Solyc01g006590.3.1 0.58
Solyc12g096880.3.1 0.79
Solyc07g063780.2.1 0.6902
Solyc07g063800.2.1 0.97
Solyc07g055420.1.1 0.753
